,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,month
1763,897314,HTTP Clients with Laravel: Use and Consume Services and APIs,1,65,237,22,52,Intermediate Level,3.5,Web Development,2016,07
1764,513846,７日でマスター  ビギナー向け Adobe Illustrator　どきどきセミナー,1,20,108,3,44,Beginner Level,5.5,Graphic Design,2015,08
1765,639126,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,1,35,280,40,54,All Levels,4,Business Finance,2015,11
1766,191588,IAS 10 - Events After Reporting Date,0,0,2146,35,8,All Levels,1,Business Finance,2014,05
1767,199822,IAS 12 - Accounting for Income Taxes (Basics),0,0,4269,60,17,All Levels,4.5,Business Finance,2014,05
1768,312860,"IAS 16-Property,Plant and Equipment ",0,0,2166,38,20,All Levels,3,Business Finance,2014,10
1769,190816,IAS 18 - Revenue,0,0,2571,32,23,All Levels,4.5,Business Finance,2014,03
1770,270844,IAS 1-Presentation of Financial Statements ,0,0,2674,81,8,All Levels,1,Business Finance,2014,10
1771,253810,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",0,0,2122,30,15,All Levels,2.5,Business Finance,2014,10
1772,226084,"IAS37 - Provisions, Contingents Liabilities & Assets",0,0,2247,53,29,All Levels,4,Business Finance,2014,06
1773,1012262,Icon & Logo Symbol Design in Adobe Illustrator,1,100,1043,27,30,All Levels,2,Graphic Design,2016,11
1774,1201118,Icon Design Masterclass: Learn Icon Design Principles,1,40,6,0,15,Beginner Level,2.5,Graphic Design,2017,05
1775,249376,IFRIC 13-Customer Loyalty Programmes (Revenue),0,0,2058,22,6,All Levels,0.6,Business Finance,2014,07
1776,322118,IFRS Financial Reporting,1,55,72,9,15,All Levels,3.5,Business Finance,2014,10
1777,1018358,Illustrated Logo Design,1,25,447,2,10,Intermediate Level,1,Graphic Design,2016,11
1778,1211198,Illustrative Surface Patterns Design : From Life To Products,1,40,253,1,14,All Levels,1,Graphic Design,2017,05
1779,288110,Illustrator - Creating stylised images from a photo,1,50,1500,11,9,All Levels,0.7,Graphic Design,2014,09
1780,334530,Illustrator 101: Learn Quickly and Easily to create Artwork,1,40,452,3,37,All Levels,1,Graphic Design,2014,11
1781,899240,illustrator CC 2015.3 - Curso básico de ferramentas,1,20,13,6,12,Beginner Level,1,Graphic Design,2016,07
1782,913768,Illustrator CC 2016 Power Workshops (Deutsch),1,150,96,10,50,Intermediate Level,4.5,Graphic Design,2016,07
1783,1197206,Illustrator CC MasterClass,1,95,462,50,86,All Levels,12,Graphic Design,2017,05
1784,501140,Illustrator CC para novatos: ¡desde cero hasta experto! ,1,150,2476,466,96,All Levels,11,Graphic Design,2015,12
1785,751230,Illustrator CC: Design and drawing from scratch to expert!,1,150,2427,99,97,Beginner Level,11,Graphic Design,2016,12
1786,1246168,"Illustrator para criação de peças gráficas, Design Gráfico",1,100,33,3,41,Beginner Level,1.5,Graphic Design,2017,06
1787,590794,Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,0,0,381,24,7,All Levels,0.6,Graphic Design,2015,08
1788,468182,Ilustración de la A a la Z,1,20,33,3,19,All Levels,3,Graphic Design,2015,06
1789,425086,Implementing a Data Warehouse with SQL Server 2012 ,1,85,1142,148,90,All Levels,5,Web Development,2015,05
1790,114518,Improve Your Financial Literacy,0,0,9995,96,10,All Levels,2,Business Finance,2014,02
1791,142666,Improved SEO with Rich Snippets and MicroData,0,0,11026,228,13,Intermediate Level,1,Web Development,2014,06
1792,448250,improvisación de Guitarra,1,20,1,0,10,All Levels,1,Musical Instruments,2015,03
1793,932804,Improvise On The Piano In 30 Minutes,1,40,85,8,19,Beginner Level,1.5,Musical Instruments,2016,08
1794,62252,"Improvise Puccini´s 'E Lucevan le Stelle on Piano""",1,20,169,3,16,All Levels,2,Musical Instruments,2013,10
1795,615920,In Depth Web Development Made Easy,1,25,3249,27,60,All Levels,6.5,Web Development,2015,10
1796,185528,Iníciate en Microstation,1,20,0,0,10,Beginner Level,1,Graphic Design,2014,04
1797,1266468,Indesign - Para quem quer trabalhar com Design Gráfico,1,100,27,7,12,Intermediate Level,2.5,Graphic Design,2017,06
1798,446022,InDesign Basics for Beginners: Learn InDesign Quickly,1,35,177,8,24,Beginner Level,1.5,Graphic Design,2015,08
1799,530436,InDesign: Diseño de proyectos paso a paso,1,150,300,40,77,Intermediate Level,4.5,Graphic Design,2015,09
1800,854764,Indian Contract Act 1872: Must for all Finance Professionals,1,20,605,3,14,All Levels,1,Business Finance,2016,05
1801,1007622,Infodesign,1,50,2,1,12,Beginner Level,1.5,Graphic Design,2017,03
1802,496430,Infographic Design: How To Create Your Own Infographic,1,20,84,8,13,All Levels,2,Graphic Design,2015,05
1803,876444,Inkscape 101 for Beginners - Design Vector Graphics,1,195,13,5,26,Beginner Level,1,Graphic Design,2016,06
1804,628440,Inkscape For Beginners 2016/2017,1,40,1029,52,26,All Levels,4,Graphic Design,2016,09
1805,1223000,Innovators and innovation: Travel through time!,1,50,101,0,31,Beginner Level,6,Business Finance,2017,05
1806,131512,Inside Drum Technique,1,50,406,10,25,All Levels,2,Musical Instruments,2013,12
1807,629044,Inspirational Web Development - A Beginner Approach -,1,20,5328,47,28,Beginner Level,3.5,Web Development,2016,01
1808,549094,Install a Wordpress Theme the Correct Way & Charge Others,1,20,2335,13,18,All Levels,1,Web Development,2015,09
1809,651990,Install Wordpress,1,20,1447,35,7,Beginner Level,0.7,Web Development,2015,11
1810,593128,Install WordPress on Computer using XAMPP,0,0,4290,150,15,Beginner Level,0.6,Web Development,2015,08
1811,326244,"Installing Wordpress 4 - Installation, Registrars & Hosting",1,45,6117,188,28,Beginner Level,2.5,Web Development,2014,10
1812,708696,Instant Bodhran - part one; learn the basics of drumming now,1,30,920,31,9,Beginner Level,1,Musical Instruments,2016,01
